id,nom_fichier,titre,auteur,annee,sujets
5096,Vingt Mille Lieues Sous Les Mers — Part 2.txt,Vingt Mille Lieues Sous Les Mers — Part 2,"Verne, Jules, 1828-1905",2004,Science fiction; Submarines (Ships) -- Fiction; Sea stories; Adventure stories; Underwater exploration -- Fiction
5095,Vingt Mille Lieues Sous Les Mers — Part 1.txt,Vingt Mille Lieues Sous Les Mers — Part 1,"Verne, Jules, 1828-1905",2004,Science fiction; Submarines (Ships) -- Fiction; Sea stories; Adventure stories; Underwater exploration -- Fiction
5097,Vingt mille Lieues Sous Les Mers — Complete.txt,Vingt mille Lieues Sous Les Mers — Complete,"Verne, Jules, 1828-1905",2004,Science fiction; Submarines (Ships) -- Fiction; Sea stories; Adventure stories; Underwater exploration -- Fiction
5104,Histoire d'un casse-noisette.txt,Histoire d'un casse-noisette,"Dumas, Alexandre, 1802-1870",2004,"Fairy tales; Children's stories, French"
5105,Tartarin sur les Alpes.txt,Tartarin sur les Alpes,"Daudet, Alphonse, 1840-1897",2004,Alps -- Fiction
5126,Robur-le-conquérant.txt,Robur-le-conquérant,"Verne, Jules, 1828-1905",2004,Science fiction; Aeronautics -- Fiction
5138,"Le Monde comme il va, vision de Babouc.txt","Le Monde comme il va, vision de Babouc","Voltaire, 1694-1778",2004,French fiction -- 18th century
5130,"Don Juan, ou le Festin de pierre.txt","Don Juan, ou le Festin de pierre","Molière, 1622-1673",2004,"Comedy plays; Juan, Don (Legendary character) -- Drama"
5147,Le Jardin d'Épicure.txt,Le Jardin d'Épicure,"France, Anatole, 1844-1924",2004,French essays
5158,"Le Lutrin, poème héroï-comique.txt","Le Lutrin, poème héroï-comique","Boileau Despréaux, Nicolas, 1636-1711",2004,French poetry -- 17th century
5154,La Bête humaine.txt,La Bête humaine,"Zola, Émile, 1840-1902",2004,French fiction -- 19th century
5178,Le Mariage forcé.txt,Le Mariage forcé,"Molière, 1622-1673",2004,Comedy plays; French drama -- 17th century
5250,Nana.txt,Nana,"Zola, Émile, 1840-1902",2004,"Man-woman relationships -- Fiction; Prostitutes -- France -- Fiction; French fiction -- 19th century; France -- History -- Second Empire, 1852-1870 -- Fiction; Young women -- France -- Fiction"
5318,Les Précieuses ridicules.txt,Les Précieuses ridicules,"Molière, 1622-1673",2004,Comedy plays; French drama -- 17th century
5644,"Sganarelle, ou le Cocu imaginaire.txt","Sganarelle, ou le Cocu imaginaire","Molière, 1622-1673",2004,Comedy plays; French drama -- 17th century
5258,Ainsi Parlait Zarathoustra.txt,Ainsi Parlait Zarathoustra,"Nietzsche, Friedrich Wilhelm, 1844-1900",2004,"Superman (Philosophical concept); Philosophy, German"
5423,L'homme Qui Rit.txt,L'homme Qui Rit,"Hugo, Victor, 1802-1885",2004,"Historical fiction; Great Britain -- History -- Anne, 1702-1714 -- Fiction; England -- Fiction; Clowns -- Fiction; Mouth -- Wounds and injuries -- Fiction; Traveling theater -- Fiction; Great Britain -- History -- James II, 1685-1688 -- Fiction"
5781,Le Grand Meaulnes.txt,Le Grand Meaulnes,"Alain-Fournier, 1886-1914",2004,First loves -- Fiction; Bildungsromans; France -- Fiction; Teenage boys -- Fiction; French fiction -- 20th century
5711,Germinal.txt,Germinal,"Zola, Émile, 1840-1902",2004,"Coal miners -- Fiction; Coal mines and mining -- Fiction; Political fiction; Strikes and lockouts -- Fiction; Labor disputes -- Fiction; France, Northern -- Fiction"
5892,Histoires grises.txt,Histoires grises,"Tavernier, E. Edouard",2004,"French fiction; Short stories, French"
6099,Les Fleurs du Mal.txt,Les Fleurs du Mal,"Baudelaire, Charles, 1821-1867",2004,French poetry -- 19th century
6309,Ma Cousine Pot-Au-Feu.txt,Ma Cousine Pot-Au-Feu,"Tinseau, Léon de, 1844-1921",2004,"Cousins -- Fiction; France -- Social life and customs -- 19th century -- Fiction; Families -- Fiction; France -- History -- Louis Philippe, 1830-1848 -- Fiction; Upper class -- France -- History -- 19th century -- Fiction; France -- History -- July Revolution, 1830 -- Fiction"
6318,L'Avare.txt,L'Avare,"Molière, 1622-1673",2004,Comedy plays; Misers -- Drama; Paris (France) -- Drama
6319,Bric-à-brac.txt,Bric-à-brac,"Dumas, Alexandre, 1802-1870",2004,"Short stories, French; French fiction -- 19th century"
6377,Thaïs.txt,Thaïs,"France, Anatole, 1844-1924",2004,"Egypt -- Fiction; Christianity, Conversion to -- Fiction; Courtesans -- Fiction; Hermits -- Fiction; Christian women saints -- Fiction"
6470,Le Ventre de Paris.txt,Le Ventre de Paris,"Zola, Émile, 1840-1902",2004,Historical fiction; Paris (France) -- Fiction
6484,Chéri.txt,Chéri,"Colette, 1873-1954",2004,Young men -- Fiction; France -- Fiction; Courtesans -- Fiction; Middle-aged women -- Fiction
6497,L'Assommoir.txt,L'Assommoir,"Zola, Émile, 1840-1902",2004,Domestic fiction; Married women -- Fiction; Paris (France) -- Fiction; Working class women -- Fiction; Working class -- France -- Paris -- Fiction; Paris (France) -- Social conditions -- Fiction
6501,Supplément au Voyage de Bougainville.txt,Supplément au Voyage de Bougainville,"Diderot, Denis, 1713-1784",2004,"Philosophy; Sexual ethics; Bougainville, Louis-Antoine de, comte, 1729-1811. Voyage autour du monde"
6558,La faute de l'abbé Mouret.txt,La faute de l'abbé Mouret,"Zola, Émile, 1840-1902",2004,Clergy -- Fiction; France -- Fiction; Catholics -- Fiction; Sin -- Christianity -- Fiction
6691,Discours Civiques de Danton.txt,Discours Civiques de Danton,"Danton, Georges Jacques, 1759-1794; Fleischmann, Hector, 1882-1914 [Commentator]",2004,"France -- History -- Revolution, 1789-1799"
